Airline,Flight Number,Aircraft Company,Origin,Destination,Arrival Time,Departure Time,Flight Duration,Flight Stops,Carbon Emission,Flight Price,Date
IndiGo,6E 6021,Airbus A321neo,Bengaluru,Delhi,5:45 AM,8:35 AM,2 hr 50 min,Nonstop,113 kg CO2e,12311,"Tue, Nov 26"
IndiGo,6E 2186,Airbus A321neo,Bengaluru,Delhi,8:00 AM,11:00 AM,3 hr,Nonstop,113 kg CO2e,12311,"Tue, Nov 26"
IndiGo,6E 871,Airbus A321neo,Bengaluru,Delhi,9:15 AM,12:05 PM,2 hr 50 min,Nonstop,113 kg CO2e,12311,"Tue, Nov 26"
Air India,AI 513,Airbus A350,Bengaluru,Delhi,7:45 AM,10:30 AM,2 hr 45 min,Nonstop,136 kg CO2e,12966,"Tue, Nov 26"
IndiGo,6E 175,Airbus A321neo,Bengaluru,Delhi,10:30 AM,1:25 PM,2 hr 55 min,Nonstop,113 kg CO2e,12311,"Tue, Nov 26"
IndiGo,6E 869,Airbus A321neo,Bengaluru,Delhi,11:45 AM,2:40 PM,2 hr 55 min,Nonstop,113 kg CO2e,12311,"Tue, Nov 26"
IndiGo,6E 6401,Airbus A321neo,Bengaluru,Delhi,1:00 PM,3:50 PM,2 hr 50 min,Nonstop,113 kg CO2e,12311,"Tue, Nov 26"
IndiGo,6E 5306,Airbus A321neo,Bengaluru,Delhi,2:00 PM,4:45 PM,2 hr 45 min,Nonstop,113 kg CO2e,12311,"Tue, Nov 26"
IndiGo,6E 2174,Airbus A321neo,Bengaluru,Delhi,3:20 PM,6:05 PM,2 hr 45 min,Nonstop,113 kg CO2e,12311,"Tue, Nov 26"
IndiGo,6E 2306,Airbus A321neo,Bengaluru,Delhi,4:30 PM,7:20 PM,2 hr 50 min,Nonstop,113 kg CO2e,12311,"Tue, Nov 26"
IndiGo,6E 6034,Airbus A321neo,Bengaluru,Delhi,6:00 PM,8:55 PM,2 hr 55 min,Nonstop,113 kg CO2e,12311,"Tue, Nov 26"
IndiGo,6E 6433,Airbus A321neo,Bengaluru,Delhi,7:00 AM,9:55 AM,2 hr 55 min,Nonstop,113 kg CO2e,12685,"Tue, Nov 26"
IndiGo,6E 408,Airbus A321neo,Bengaluru,Delhi,5:15 AM,10:55 AM,5 hr 40 min,1 stop,148 kg CO2e,12698,"Tue, Nov 26"
IndiGo,6E 857,Airbus A320,Bengaluru,Delhi,6:10 AM,11:55 AM,5 hr 45 min,1 stop,169 kg CO2e,12698,"Tue, Nov 26"
IndiGo,6E 852,Airbus A320neo,Bengaluru,Delhi,1:55 PM,7:35 PM,5 hr 40 min,1 stop,164 kg CO2e,12698,"Tue, Nov 26"
Air India,AI 804,Airbus A320neo,Bengaluru,Delhi,5:45 AM,8:45 AM,3 hr,Nonstop,139 kg CO2e,12966,"Tue, Nov 26"
Air India,AI 505,Airbus A320neo,Bengaluru,Delhi,9:50 AM,12:45 PM,2 hr 55 min,Nonstop,139 kg CO2e,12966,"Tue, Nov 26"
Air India,AI 2406,Airbus A320neo,Bengaluru,Delhi,11:35 AM,2:25 PM,2 hr 50 min,Nonstop,139 kg CO2e,12966,"Tue, Nov 26"
Air India,AI 507,Airbus A350,Bengaluru,Delhi,12:20 PM,3:10 PM,2 hr 50 min,Nonstop,136 kg CO2e,12966,"Tue, Nov 26"
Air India,AI 501,Airbus A320neo,Bengaluru,Delhi,1:15 PM,4:25 PM,3 hr 10 min,Nonstop,139 kg CO2e,12966,"Tue, Nov 26"
IndiGo,6E 6779,Airbus A321neo,Bengaluru,Delhi,1:15 AM,6:25 AM,5 hr 10 min,1 stop,153 kg CO2e,13213,"Tue, Nov 26"
Air India,AI 2810,Airbus A320neo,Bengaluru,Delhi,6:50 AM,9:40 AM,2 hr 50 min,Nonstop,139 kg CO2e,13460,"Tue, Nov 26"
Air India,AI 2808,Airbus A320neo,Bengaluru,Delhi,8:00 AM,10:45 AM,2 hr 45 min,Nonstop,139 kg CO2e,13460,"Tue, Nov 26"
Air India,AI 2868,Airbus A320neo,Bengaluru,Delhi,9:45 AM,12:40 PM,2 hr 55 min,Nonstop,139 kg CO2e,13460,"Tue, Nov 26"
IndiGo,6E 7227,ATR 72,Bengaluru,Delhi,6:35 AM,11:50 AM,5 hr 15 min,1 stop,152 kg CO2e,13780,"Tue, Nov 26"
IndiGo,6E 537,Airbus A320neo,Bengaluru,Delhi,10:15 AM,4:05 PM,5 hr 50 min,1 stop,146 kg CO2e,13780,"Tue, Nov 26"
Akasa Air,QP 1359,Boeing 737MAX 8 Passenger,Bengaluru,Delhi,5:00 AM,7:50 AM,2 hr 50 min,Nonstop,117 kg CO2e,14172,"Tue, Nov 26"
IndiGo,6E 575,Airbus A320neo,Bengaluru,Delhi,5:00 AM,10:55 AM,5 hr 55 min,1 stop,154 kg CO2e,14224,"Tue, Nov 26"
IndiGo,6E 6815,Airbus A320neo,Bengaluru,Delhi,10:20 AM,3:55 PM,5 hr 35 min,1 stop,156 kg CO2e,14403,"Tue, Nov 26"
SpiceJet,SG 136,Boeing 737,Bengaluru,Delhi,5:55 AM,8:45 AM,2 hr 50 min,Nonstop,185 kg CO2e,14523,"Tue, Nov 26"
IndiGo,6E 886,Airbus A321neo,Bengaluru,Delhi,9:00 AM,2:35 PM,5 hr 35 min,1 stop,139 kg CO2e,14629,"Tue, Nov 26"
Air India,AI 511,Airbus A320neo,Bengaluru,Delhi,3:20 PM,6:30 PM,3 hr 10 min,Nonstop,139 kg CO2e,14704,"Tue, Nov 26"
IndiGo,6E 465,Airbus A321neo,Bengaluru,Delhi,12:50 PM,6:05 PM,5 hr 15 min,1 stop,158 kg CO2e,14755,"Tue, Nov 26"
IndiGo,6E 6892,Airbus A320neo,Bengaluru,Delhi,1:10 PM,6:15 PM,5 hr 5 min,1 stop,150 kg CO2e,14837,"Tue, Nov 26"
IndiGo,6E 6923,Airbus A320neo,Bengaluru,Delhi,4:55 AM,9:55 AM,5 hr,1 stop,146 kg CO2e,15957,"Tue, Nov 26"
Akasa Air,QP 1880,Boeing 737MAX 8 Passenger,Bengaluru,Delhi,11:00 AM,4:25 PM,5 hr 25 min,1 stop,185 kg CO2e,16034,"Tue, Nov 26"
IndiGo,6E 6288,Airbus A320neo,Bengaluru,Delhi,9:10 AM,3:05 PM,5 hr 55 min,1 stop,187 kg CO2e,16669,"Tue, Nov 26"
IndiGo,6E 6583,Airbus A321neo,Bengaluru,Delhi,9:35 AM,2:40 PM,5 hr 5 min,1 stop,174 kg CO2e,18249,"Tue, Nov 26"
IndiGo,6E 217,Airbus A320,Bengaluru,Delhi,5:35 AM,11:25 AM,5 hr 50 min,1 stop,182 kg CO2e,19126,"Tue, Nov 26"
IndiGo,6E 6176,Airbus A320neo,Bengaluru,Delhi,7:45 AM,1:10 PM,5 hr 25 min,1 stop,154 kg CO2e,19335,"Tue, Nov 26"
IndiGo,6E 438,Airbus A321neo,Bengaluru,Delhi,9:20 AM,2:30 PM,5 hr 10 min,1 stop,160 kg CO2e,19355,"Tue, Nov 26"
IndiGo,6E 897,Airbus A320neo,Bengaluru,Delhi,12:30 PM,5:30 PM,5 hr,1 stop,166 kg CO2e,27384,"Tue, Nov 26"
IndiGo,6E 6021,Airbus A321neo,Bengaluru,Delhi,5:45 AM,8:35 AM,2 hr 50 min,Nonstop,113 kg CO2e,11997,"Wed, Nov 27"
Akasa Air,QP 1359,Boeing 737MAX 8 Passenger,Bengaluru,Delhi,5:00 AM,7:50 AM,2 hr 50 min,Nonstop,117 kg CO2e,12369,"Wed, Nov 27"
Air India,AI 513,Airbus A350,Bengaluru,Delhi,7:45 AM,10:30 AM,2 hr 45 min,Nonstop,136 kg CO2e,12652,"Wed, Nov 27"
IndiGo,6E 6433,Airbus A321neo,Bengaluru,Delhi,7:00 AM,9:55 AM,2 hr 55 min,Nonstop,113 kg CO2e,11997,"Wed, Nov 27"
IndiGo,6E 2186,Airbus A321neo,Bengaluru,Delhi,8:00 AM,11:00 AM,3 hr,Nonstop,113 kg CO2e,11997,"Wed, Nov 27"
IndiGo,6E 871,Airbus A321neo,Bengaluru,Delhi,9:15 AM,12:05 PM,2 hr 50 min,Nonstop,113 kg CO2e,11997,"Wed, Nov 27"
IndiGo,6E 175,Airbus A321neo,Bengaluru,Delhi,10:30 AM,1:25 PM,2 hr 55 min,Nonstop,113 kg CO2e,11997,"Wed, Nov 27"
IndiGo,6E 869,Airbus A321neo,Bengaluru,Delhi,11:45 AM,2:40 PM,2 hr 55 min,Nonstop,113 kg CO2e,11997,"Wed, Nov 27"
IndiGo,6E 5306,Airbus A321neo,Bengaluru,Delhi,2:00 PM,4:45 PM,2 hr 45 min,Nonstop,113 kg CO2e,11997,"Wed, Nov 27"
IndiGo,6E 2174,Airbus A321neo,Bengaluru,Delhi,3:20 PM,6:05 PM,2 hr 45 min,Nonstop,113 kg CO2e,12311,"Wed, Nov 27"
IndiGo,6E 2306,Airbus A321neo,Bengaluru,Delhi,4:30 PM,7:20 PM,2 hr 50 min,Nonstop,113 kg CO2e,12311,"Wed, Nov 27"
IndiGo,6E 6034,Airbus A321neo,Bengaluru,Delhi,6:00 PM,8:55 PM,2 hr 55 min,Nonstop,113 kg CO2e,12311,"Wed, Nov 27"
IndiGo,6E 6401,Airbus A321neo,Bengaluru,Delhi,1:00 PM,3:50 PM,2 hr 50 min,Nonstop,113 kg CO2e,12371,"Wed, Nov 27"
Air India,AI 804,Airbus A320neo,Bengaluru,Delhi,5:45 AM,8:45 AM,3 hr,Nonstop,139 kg CO2e,12652,"Wed, Nov 27"
Air India,AI 2810,Airbus A320neo,Bengaluru,Delhi,6:50 AM,9:40 AM,2 hr 50 min,Nonstop,139 kg CO2e,12652,"Wed, Nov 27"
Air India,AI 2868,Airbus A320neo,Bengaluru,Delhi,9:45 AM,12:40 PM,2 hr 55 min,Nonstop,139 kg CO2e,12652,"Wed, Nov 27"
Air India,AI 505,Airbus A320neo,Bengaluru,Delhi,9:50 AM,12:45 PM,2 hr 55 min,Nonstop,139 kg CO2e,12652,"Wed, Nov 27"
IndiGo,6E 6779,Airbus A321neo,Bengaluru,Delhi,1:15 AM,6:25 AM,5 hr 10 min,1 stop,153 kg CO2e,12899,"Wed, Nov 27"
IndiGo,6E 857,Airbus A320,Bengaluru,Delhi,6:10 AM,11:55 AM,5 hr 45 min,1 stop,169 kg CO2e,12899,"Wed, Nov 27"
IndiGo,6E 537,Airbus A320neo,Bengaluru,Delhi,10:15 AM,4:05 PM,5 hr 50 min,1 stop,146 kg CO2e,12899,"Wed, Nov 27"
Air India,AI 2406,Airbus A320neo,Bengaluru,Delhi,11:35 AM,2:25 PM,2 hr 50 min,Nonstop,139 kg CO2e,12966,"Wed, Nov 27"
Air India,AI 507,Airbus A350,Bengaluru,Delhi,12:20 PM,3:10 PM,2 hr 50 min,Nonstop,136 kg CO2e,12966,"Wed, Nov 27"
Air India,AI 501,Airbus A320neo,Bengaluru,Delhi,1:15 PM,4:25 PM,3 hr 10 min,Nonstop,139 kg CO2e,12966,"Wed, Nov 27"
Air India,AI 428,Boeing 787,Bengaluru,Delhi,1:55 PM,4:50 PM,2 hr 55 min,Nonstop,168 kg CO2e,12966,"Wed, Nov 27"
IndiGo,6E 6923,Airbus A320neo,Bengaluru,Delhi,4:55 AM,9:55 AM,5 hr,1 stop,146 kg CO2e,13018,"Wed, Nov 27"
IndiGo,6E 852,Airbus A320neo,Bengaluru,Delhi,1:55 PM,7:35 PM,5 hr 40 min,1 stop,164 kg CO2e,13213,"Wed, Nov 27"
IndiGo,6E 575,Airbus A320neo,Bengaluru,Delhi,5:00 AM,10:55 AM,5 hr 55 min,1 stop,154 kg CO2e,13805,"Wed, Nov 27"
SpiceJet,SG 136,Boeing 737,Bengaluru,Delhi,5:55 AM,8:45 AM,2 hr 50 min,Nonstop,185 kg CO2e,13999,"Wed, Nov 27"
