Airline,Flight Number,Aircraft Company,Origin,Destination,Arrival Time,Departure Time,Flight Duration,Flight Stops,Carbon Emission,Flight Price,Date
IndiGo,6E 5323,Airbus A321neo,Bengaluru,Mumbai,3:00 AM,5:00 AM,2 hr,Nonstop,69 kg CO2e,7958.0,"Fri, Nov 22"
IndiGo,6E 5114,Airbus A321neo,Bengaluru,Mumbai,5:00 AM,6:50 AM,1 hr 50 min,Nonstop,69 kg CO2e,7958.0,"Fri, Nov 22"
Air India,AI 2846,Airbus A321,Bengaluru,Mumbai,8:25 AM,10:10 AM,1 hr 45 min,Nonstop,105 kg CO2e,8621.0,"Fri, Nov 22"
Akasa Air,QP 1375,Boeing 737MAX 8 Passenger,Bengaluru,Mumbai,8:10 AM,9:55 AM,1 hr 45 min,Nonstop,77 kg CO2e,8867.0,"Fri, Nov 22"
Air India Express,IX 1242,Airbus A320,Bengaluru,Mumbai,1:25 AM,2:50 AM,1 hr 25 min,Nonstop,95 kg CO2e,,"Fri, Nov 22"
IndiGo,6E 5075,Airbus A321neo,Bengaluru,Mumbai,7:00 AM,9:05 AM,2 hr 5 min,Nonstop,69 kg CO2e,8407.0,"Fri, Nov 22"
IndiGo,6E 5051,Airbus A321neo,Bengaluru,Mumbai,9:55 AM,12:00 PM,2 hr 5 min,Nonstop,69 kg CO2e,8407.0,"Fri, Nov 22"
IndiGo,6E 5011,Airbus A321neo,Bengaluru,Mumbai,11:30 AM,1:30 PM,2 hr,Nonstop,69 kg CO2e,8407.0,"Fri, Nov 22"
IndiGo,6E 5218,Airbus A321neo,Bengaluru,Mumbai,1:55 PM,4:05 PM,2 hr 10 min,Nonstop,69 kg CO2e,8413.0,"Fri, Nov 22"
Air India,AI 2402,Airbus A320neo,Bengaluru,Mumbai,6:40 AM,8:25 AM,1 hr 45 min,Nonstop,85 kg CO2e,8621.0,"Fri, Nov 22"
Air India,AI 640,Airbus A320neo,Bengaluru,Mumbai,6:40 AM,8:40 AM,2 hr,Nonstop,85 kg CO2e,8621.0,"Fri, Nov 22"
IndiGo,6E 5216,Airbus A321neo,Bengaluru,Mumbai,8:30 AM,10:30 AM,2 hr,Nonstop,69 kg CO2e,8783.0,"Fri, Nov 22"
IndiGo,6E 5293,Airbus A321neo,Bengaluru,Mumbai,12:50 PM,2:40 PM,1 hr 50 min,Nonstop,69 kg CO2e,8783.0,"Fri, Nov 22"
Akasa Air,QP 1736,Boeing 737MAX 8 Passenger,Bengaluru,Mumbai,6:20 AM,8:05 AM,1 hr 45 min,Nonstop,75 kg CO2e,8867.0,"Fri, Nov 22"
Akasa Air,QP 1194,Boeing 737MAX 8 Passenger,Bengaluru,Mumbai,3:50 AM,5:35 AM,1 hr 45 min,Nonstop,75 kg CO2e,9037.0,"Fri, Nov 22"
Air India,AI 2852,Airbus A320neo,Bengaluru,Mumbai,9:30 AM,11:25 AM,1 hr 55 min,Nonstop,85 kg CO2e,9072.0,"Fri, Nov 22"
Air India,AI 604,Airbus A320neo,Bengaluru,Mumbai,9:20 AM,11:10 AM,1 hr 50 min,Nonstop,85 kg CO2e,9151.0,"Fri, Nov 22"
