Airline,Flight Number,Aircraft Company,Origin,Destination,Arrival Time,Departure Time,Flight Duration,Flight Stops,Carbon Emission,Flight Price,Date
IndiGo,6E 531,Airbus A320neo,Hyderabad,Kolkata,5:35 AM,10:45 AM,5 hr 10 min,1 stop,149 kg CO2e,10709,"Mon, Dec 9"
IndiGo,6E 6925,Airbus A320neo,Hyderabad,Kolkata,2:15 PM,6:45 PM,4 hr 30 min,1 stop,150 kg CO2e,11204,"Mon, Dec 9"
IndiGo,6E 6494,Airbus A320neo,Hyderabad,Kolkata,6:05 AM,8:05 AM,2 hr,Nonstop,92 kg CO2e,11471,"Mon, Dec 9"
IndiGo,6E 664,Airbus A321neo,Hyderabad,Kolkata,8:20 AM,10:20 AM,2 hr,Nonstop,87 kg CO2e,12311,"Mon, Dec 9"
IndiGo,6E 6907,Airbus A321neo,Hyderabad,Kolkata,2:20 PM,4:20 PM,2 hr,Nonstop,87 kg CO2e,12311,"Mon, Dec 9"
IndiGo,6E 243,Airbus A320neo,Hyderabad,Kolkata,7:50 AM,2:20 PM,6 hr 30 min,1 stop,155 kg CO2e,10709,"Mon, Dec 9"
IndiGo,6E 421,Airbus A320neo,Hyderabad,Kolkata,8:35 AM,1:35 PM,5 hr,1 stop,123 kg CO2e,11108,"Mon, Dec 9"
IndiGo,6E 6408,Airbus A321neo,Hyderabad,Kolkata,11:50 AM,4:40 PM,4 hr 50 min,1 stop,129 kg CO2e,11375,"Mon, Dec 9"
IndiGo,6E 887,Airbus A321neo,Hyderabad,Kolkata,5:10 AM,10:55 AM,5 hr 45 min,1 stop,151 kg CO2e,11547,"Mon, Dec 9"
IndiGo,6E 413,Airbus A321neo,Hyderabad,Kolkata,6:55 AM,12:40 PM,5 hr 45 min,1 stop,151 kg CO2e,11547,"Mon, Dec 9"
IndiGo,6E 6066,Airbus A320,Hyderabad,Kolkata,9:50 AM,3:50 PM,6 hr,1 stop,162 kg CO2e,11547,"Mon, Dec 9"
IndiGo,6E 879,Airbus A320neo,Hyderabad,Kolkata,10:40 AM,4:40 PM,6 hr,1 stop,133 kg CO2e,11610,"Mon, Dec 9"
IndiGo,6E 149,Airbus A320neo,Hyderabad,Kolkata,10:25 AM,4:00 PM,5 hr 35 min,1 stop,155 kg CO2e,11652,"Mon, Dec 9"
IndiGo,6E 5384,Airbus A321neo,Hyderabad,Kolkata,12:15 PM,5:50 PM,5 hr 35 min,1 stop,166 kg CO2e,12417,"Mon, Dec 9"
IndiGo,6E 376,Airbus A320neo,Hyderabad,Kolkata,11:55 AM,2:00 PM,2 hr 5 min,Nonstop,92 kg CO2e,12731,"Mon, Dec 9"
IndiGo,6E 337,Airbus A320neo,Hyderabad,Kolkata,2:25 AM,8:25 AM,6 hr,1 stop,158 kg CO2e,14483,"Mon, Dec 9"
IndiGo,6E 6156,Airbus A320neo,Hyderabad,Kolkata,11:40 AM,5:40 PM,6 hr,1 stop,154 kg CO2e,14948,"Mon, Dec 9"
IndiGo,6E 6974,Airbus A321neo,Hyderabad,Kolkata,7:40 AM,1:45 PM,6 hr 5 min,1 stop,171 kg CO2e,16108,"Mon, Dec 9"
IndiGo,6E 6911,Airbus A321neo,Hyderabad,Kolkata,11:25 AM,4:30 PM,5 hr 5 min,1 stop,116 kg CO2e,18070,"Mon, Dec 9"
IndiGo,6E 905,Airbus A320neo,Hyderabad,Kolkata,12:45 PM,6:10 PM,5 hr 25 min,1 stop,192 kg CO2e,21174,"Mon, Dec 9"
IndiGo,6E 531,Airbus A320neo,Hyderabad,Kolkata,5:35 AM,10:45 AM,5 hr 10 min,1 stop,149 kg CO2e,10709,"Tue, Dec 10"
IndiGo,6E 421,Airbus A320neo,Hyderabad,Kolkata,8:35 AM,1:35 PM,5 hr,1 stop,123 kg CO2e,10709,"Tue, Dec 10"
IndiGo,6E 6911,Airbus A321neo,Hyderabad,Kolkata,11:25 AM,4:30 PM,5 hr 5 min,1 stop,116 kg CO2e,10709,"Tue, Dec 10"
IndiGo,6E 664,Airbus A321neo,Hyderabad,Kolkata,8:20 AM,10:20 AM,2 hr,Nonstop,87 kg CO2e,12311,"Tue, Dec 10"
IndiGo,6E 337,Airbus A320neo,Hyderabad,Kolkata,2:25 AM,8:25 AM,6 hr,1 stop,158 kg CO2e,10709,"Tue, Dec 10"
IndiGo,6E 887,Airbus A321neo,Hyderabad,Kolkata,5:10 AM,10:55 AM,5 hr 45 min,1 stop,151 kg CO2e,10709,"Tue, Dec 10"
IndiGo,6E 413,Airbus A321neo,Hyderabad,Kolkata,6:55 AM,12:40 PM,5 hr 45 min,1 stop,151 kg CO2e,10709,"Tue, Dec 10"
IndiGo,6E 6083,Airbus A320neo,Hyderabad,Kolkata,7:10 AM,1:35 PM,6 hr 25 min,1 stop,123 kg CO2e,10709,"Tue, Dec 10"
IndiGo,6E 6066,Airbus A320,Hyderabad,Kolkata,9:50 AM,3:55 PM,6 hr 5 min,1 stop,162 kg CO2e,10709,"Tue, Dec 10"
IndiGo,6E 149,Airbus A320neo,Hyderabad,Kolkata,10:25 AM,4:00 PM,5 hr 35 min,1 stop,155 kg CO2e,11213,"Tue, Dec 10"
IndiGo,6E 6408,Airbus A321neo,Hyderabad,Kolkata,11:50 AM,4:40 PM,4 hr 50 min,1 stop,129 kg CO2e,11375,"Tue, Dec 10"
IndiGo,6E 6494,Airbus A320neo,Hyderabad,Kolkata,6:05 AM,8:05 AM,2 hr,Nonstop,92 kg CO2e,12311,"Tue, Dec 10"
IndiGo,6E 376,Airbus A320neo,Hyderabad,Kolkata,11:55 AM,2:00 PM,2 hr 5 min,Nonstop,92 kg CO2e,12311,"Tue, Dec 10"
IndiGo,6E 6907,Airbus A321neo,Hyderabad,Kolkata,2:20 PM,4:20 PM,2 hr,Nonstop,87 kg CO2e,12311,"Tue, Dec 10"
IndiGo,6E 879,Airbus A320neo,Hyderabad,Kolkata,10:40 AM,4:40 PM,6 hr,1 stop,133 kg CO2e,12462,"Tue, Dec 10"
IndiGo,6E 5163,Airbus A321neo,Hyderabad,Kolkata,9:30 AM,4:05 PM,6 hr 35 min,1 stop,166 kg CO2e,12558,"Tue, Dec 10"
IndiGo,6E 5384,Airbus A321neo,Hyderabad,Kolkata,12:15 PM,5:50 PM,5 hr 35 min,1 stop,166 kg CO2e,12948,"Tue, Dec 10"
IndiGo,6E 243,Airbus A320neo,Hyderabad,Kolkata,7:50 AM,2:20 PM,6 hr 30 min,1 stop,155 kg CO2e,13409,"Tue, Dec 10"
IndiGo,6E 905,Airbus A320neo,Hyderabad,Kolkata,12:45 PM,6:10 PM,5 hr 25 min,1 stop,192 kg CO2e,13529,"Tue, Dec 10"
IndiGo,6E 6974,Airbus A321neo,Hyderabad,Kolkata,7:40 AM,1:45 PM,6 hr 5 min,1 stop,171 kg CO2e,14606,"Tue, Dec 10"
IndiGo,6E 6156,Airbus A320neo,Hyderabad,Kolkata,11:40 AM,5:40 PM,6 hr,1 stop,154 kg CO2e,14948,"Tue, Dec 10"
IndiGo,6E 421,Airbus A320neo,Hyderabad,Kolkata,8:35 AM,1:35 PM,5 hr,1 stop,123 kg CO2e,10709,"Wed, Dec 11"
