Airline,Flight Number,Aircraft Company,Origin,Destination,Arrival Time,Departure Time,Flight Duration,Flight Stops,Carbon Emission,Flight Price,Date
IndiGo,6E 344,Airbus A321neo,Kolkata,Chennai,5:15 AM,7:40 AM,2 hr 25 min,Nonstop,96 kg CO2e,9210,"Tue, Dec 10"
IndiGo,6E 833,Airbus A321neo,Kolkata,Chennai,11:30 AM,1:50 PM,2 hr 20 min,Nonstop,96 kg CO2e,9609,"Tue, Dec 10"
IndiGo,6E 563,Airbus A320neo,Kolkata,Chennai,8:40 AM,11:10 AM,2 hr 30 min,Nonstop,102 kg CO2e,9889,"Tue, Dec 10"
IndiGo,6E 892,Airbus A320neo,Kolkata,Chennai,3:00 PM,5:25 PM,2 hr 25 min,Nonstop,102 kg CO2e,9889,"Tue, Dec 10"
IndiGo,6E 6472,Airbus A320neo,Kolkata,Chennai,1:10 AM,7:05 AM,5 hr 55 min,1 stop,188 kg CO2e,11226,"Tue, Dec 10"
IndiGo,6E 6438,Airbus A321neo,Kolkata,Chennai,4:55 AM,10:30 AM,5 hr 35 min,1 stop,142 kg CO2e,10280,"Tue, Dec 10"
IndiGo,6E 6623,Airbus A321neo,Kolkata,Chennai,5:25 AM,11:20 AM,5 hr 55 min,1 stop,140 kg CO2e,10280,"Tue, Dec 10"
IndiGo,6E 235,Airbus A321neo,Kolkata,Chennai,11:45 AM,5:30 PM,5 hr 45 min,1 stop,142 kg CO2e,10280,"Tue, Dec 10"
IndiGo,6E 235,Airbus A321neo,Kolkata,Chennai,11:45 AM,6:30 PM,6 hr 45 min,1 stop,142 kg CO2e,10280,"Tue, Dec 10"
IndiGo,6E 512,Airbus A320,Kolkata,Chennai,12:50 PM,7:10 PM,6 hr 20 min,1 stop,148 kg CO2e,10280,"Tue, Dec 10"
IndiGo,6E 455,Airbus A321neo,Kolkata,Chennai,1:15 PM,6:30 PM,5 hr 15 min,1 stop,142 kg CO2e,10280,"Tue, Dec 10"
IndiGo,6E 271,Airbus A320neo,Kolkata,Chennai,5:40 AM,11:40 AM,6 hr,1 stop,180 kg CO2e,11331,"Tue, Dec 10"
IndiGo,6E 5065,Airbus A321neo,Kolkata,Chennai,1:45 AM,8:35 AM,6 hr 50 min,1 stop,188 kg CO2e,11770,"Tue, Dec 10"
IndiGo,6E 5297,Airbus A321neo,Kolkata,Chennai,9:30 AM,4:00 PM,6 hr 30 min,1 stop,188 kg CO2e,11770,"Tue, Dec 10"
IndiGo,6E 5288,Airbus A321neo,Kolkata,Chennai,11:15 AM,5:40 PM,6 hr 25 min,1 stop,188 kg CO2e,11770,"Tue, Dec 10"
IndiGo,6E 386,Airbus A320,Kolkata,Chennai,9:50 AM,3:45 PM,5 hr 55 min,1 stop,165 kg CO2e,11993,"Tue, Dec 10"
IndiGo,6E 334,Airbus A321neo,Kolkata,Chennai,11:00 AM,6:20 PM,7 hr 20 min,1 stop,140 kg CO2e,12703,"Tue, Dec 10"
IndiGo,6E 6513,Airbus A320neo,Kolkata,Chennai,8:50 AM,3:05 PM,6 hr 15 min,1 stop,145 kg CO2e,13884,"Tue, Dec 10"
IndiGo,6E 234,Airbus A321neo,Kolkata,Chennai,6:10 PM,8:35 PM,2 hr 25 min,Nonstop,96 kg CO2e,16430,"Tue, Dec 10"
IndiGo,6E 455,Airbus A321neo,Kolkata,Chennai,1:15 PM,7:25 PM,6 hr 10 min,1 stop,142 kg CO2e,17500,"Tue, Dec 10"
IndiGo,6E 135,Airbus A320,Kolkata,Chennai,11:10 AM,5:30 PM,6 hr 20 min,1 stop,205 kg CO2e,18114,"Tue, Dec 10"
IndiGo,6E 198,Airbus A320neo,Kolkata,Chennai,12:30 PM,7:45 PM,7 hr 15 min,1 stop,173 kg CO2e,23486,"Tue, Dec 10"
IndiGo,6E 345,Airbus A321neo,Kolkata,Chennai,9:05 AM,3:25 PM,6 hr 20 min,1 stop,208 kg CO2e,24615,"Tue, Dec 10"
IndiGo,6E 344,Airbus A321neo,Kolkata,Chennai,5:15 AM,7:40 AM,2 hr 25 min,Nonstop,96 kg CO2e,9210,"Wed, Dec 11"
IndiGo,6E 833,Airbus A321neo,Kolkata,Chennai,11:30 AM,1:50 PM,2 hr 20 min,Nonstop,96 kg CO2e,9609,"Wed, Dec 11"
IndiGo,6E 563,Airbus A320neo,Kolkata,Chennai,8:40 AM,11:10 AM,2 hr 30 min,Nonstop,102 kg CO2e,9889,"Wed, Dec 11"
IndiGo,6E 892,Airbus A320neo,Kolkata,Chennai,3:00 PM,5:25 PM,2 hr 25 min,Nonstop,102 kg CO2e,9889,"Wed, Dec 11"
IndiGo,6E 6438,Airbus A321neo,Kolkata,Chennai,4:55 AM,10:30 AM,5 hr 35 min,1 stop,142 kg CO2e,10280,"Wed, Dec 11"
IndiGo,6E 6623,Airbus A321neo,Kolkata,Chennai,5:25 AM,11:20 AM,5 hr 55 min,1 stop,140 kg CO2e,10280,"Wed, Dec 11"
IndiGo,6E 235,Airbus A321neo,Kolkata,Chennai,11:45 AM,5:30 PM,5 hr 45 min,1 stop,142 kg CO2e,10280,"Wed, Dec 11"
IndiGo,6E 235,Airbus A321neo,Kolkata,Chennai,11:45 AM,6:30 PM,6 hr 45 min,1 stop,142 kg CO2e,10280,"Wed, Dec 11"
IndiGo,6E 455,Airbus A321neo,Kolkata,Chennai,1:15 PM,6:30 PM,5 hr 15 min,1 stop,142 kg CO2e,10280,"Wed, Dec 11"
IndiGo,6E 6472,Airbus A320neo,Kolkata,Chennai,1:10 AM,7:05 AM,5 hr 55 min,1 stop,188 kg CO2e,10731,"Wed, Dec 11"
IndiGo,6E 5297,Airbus A321neo,Kolkata,Chennai,9:30 AM,4:00 PM,6 hr 30 min,1 stop,188 kg CO2e,11226,"Wed, Dec 11"
IndiGo,6E 5288,Airbus A321neo,Kolkata,Chennai,11:15 AM,5:40 PM,6 hr 25 min,1 stop,188 kg CO2e,11226,"Wed, Dec 11"
IndiGo,6E 512,Airbus A320,Kolkata,Chennai,12:50 PM,7:10 PM,6 hr 20 min,1 stop,148 kg CO2e,11226,"Wed, Dec 11"
IndiGo,6E 271,Airbus A320neo,Kolkata,Chennai,5:40 AM,11:40 AM,6 hr,1 stop,180 kg CO2e,11331,"Wed, Dec 11"
IndiGo,6E 5065,Airbus A321neo,Kolkata,Chennai,1:45 AM,8:35 AM,6 hr 50 min,1 stop,188 kg CO2e,11770,"Wed, Dec 11"
IndiGo,6E 386,Airbus A320,Kolkata,Chennai,9:50 AM,3:45 PM,5 hr 55 min,1 stop,165 kg CO2e,11993,"Wed, Dec 11"
IndiGo,6E 234,Airbus A321neo,Kolkata,Chennai,6:10 PM,8:35 PM,2 hr 25 min,Nonstop,96 kg CO2e,13088,"Wed, Dec 11"
IndiGo,6E 334,Airbus A321neo,Kolkata,Chennai,11:00 AM,6:20 PM,7 hr 20 min,1 stop,140 kg CO2e,13464,"Wed, Dec 11"
IndiGo,6E 455,Airbus A321neo,Kolkata,Chennai,1:15 PM,7:25 PM,6 hr 10 min,1 stop,142 kg CO2e,14158,"Wed, Dec 11"
IndiGo,6E 6513,Airbus A320neo,Kolkata,Chennai,8:50 AM,3:05 PM,6 hr 15 min,1 stop,145 kg CO2e,15337,"Wed, Dec 11"
IndiGo,6E 345,Airbus A321neo,Kolkata,Chennai,9:05 AM,3:15 PM,6 hr 10 min,1 stop,208 kg CO2e,15522,"Wed, Dec 11"
IndiGo,6E 6908,Airbus A320neo,Kolkata,Chennai,3:00 PM,8:45 PM,5 hr 45 min,1 stop,142 kg CO2e,17773,"Wed, Dec 11"
IndiGo,6E 135,Airbus A320,Kolkata,Chennai,11:10 AM,5:30 PM,6 hr 20 min,1 stop,205 kg CO2e,18550,"Wed, Dec 11"
IndiGo,6E 344,Airbus A321neo,Kolkata,Chennai,5:15 AM,7:30 AM,2 hr 15 min,Nonstop,96 kg CO2e,9210,"Thu, Dec 12"
IndiGo,6E 833,Airbus A321neo,Kolkata,Chennai,11:30 AM,1:50 PM,2 hr 20 min,Nonstop,96 kg CO2e,9609,"Thu, Dec 12"
IndiGo,6E 563,Airbus A320neo,Kolkata,Chennai,8:40 AM,11:10 AM,2 hr 30 min,Nonstop,102 kg CO2e,9889,"Thu, Dec 12"
IndiGo,6E 892,Airbus A320neo,Kolkata,Chennai,3:00 PM,5:25 PM,2 hr 25 min,Nonstop,102 kg CO2e,9889,"Thu, Dec 12"
IndiGo,6E 6438,Airbus A321neo,Kolkata,Chennai,4:55 AM,10:30 AM,5 hr 35 min,1 stop,142 kg CO2e,10280,"Thu, Dec 12"
IndiGo,6E 6623,Airbus A321neo,Kolkata,Chennai,5:25 AM,11:20 AM,5 hr 55 min,1 stop,140 kg CO2e,10280,"Thu, Dec 12"
IndiGo,6E 235,Airbus A321neo,Kolkata,Chennai,11:45 AM,5:30 PM,5 hr 45 min,1 stop,142 kg CO2e,10280,"Thu, Dec 12"
IndiGo,6E 235,Airbus A321neo,Kolkata,Chennai,11:45 AM,6:30 PM,6 hr 45 min,1 stop,142 kg CO2e,10280,"Thu, Dec 12"
IndiGo,6E 512,Airbus A320,Kolkata,Chennai,12:50 PM,7:10 PM,6 hr 20 min,1 stop,148 kg CO2e,10280,"Thu, Dec 12"
IndiGo,6E 455,Airbus A321neo,Kolkata,Chennai,1:15 PM,6:30 PM,5 hr 15 min,1 stop,142 kg CO2e,10280,"Thu, Dec 12"
IndiGo,6E 5297,Airbus A321neo,Kolkata,Chennai,9:30 AM,4:00 PM,6 hr 30 min,1 stop,188 kg CO2e,10731,"Thu, Dec 12"
IndiGo,6E 5288,Airbus A321neo,Kolkata,Chennai,11:15 AM,5:40 PM,6 hr 25 min,1 stop,188 kg CO2e,11226,"Thu, Dec 12"
IndiGo,6E 271,Airbus A320neo,Kolkata,Chennai,5:40 AM,11:40 AM,6 hr,1 stop,180 kg CO2e,11331,"Thu, Dec 12"
IndiGo,6E 386,Airbus A320,Kolkata,Chennai,9:50 AM,3:45 PM,5 hr 55 min,1 stop,165 kg CO2e,11993,"Thu, Dec 12"
IndiGo,6E 5065,Airbus A321neo,Kolkata,Chennai,1:45 AM,8:35 AM,6 hr 50 min,1 stop,188 kg CO2e,12369,"Thu, Dec 12"
IndiGo,6E 234,Airbus A321neo,Kolkata,Chennai,6:10 PM,8:35 PM,2 hr 25 min,Nonstop,96 kg CO2e,13907,"Thu, Dec 12"
IndiGo,6E 6513,Airbus A320neo,Kolkata,Chennai,8:50 AM,3:05 PM,6 hr 15 min,1 stop,145 kg CO2e,14851,"Thu, Dec 12"
IndiGo,6E 455,Airbus A321neo,Kolkata,Chennai,1:15 PM,7:25 PM,6 hr 10 min,1 stop,142 kg CO2e,14977,"Thu, Dec 12"
IndiGo,6E 6472,Airbus A320neo,Kolkata,Chennai,1:10 AM,7:05 AM,5 hr 55 min,1 stop,188 kg CO2e,17434,"Thu, Dec 12"
IndiGo,6E 6908,Airbus A320neo,Kolkata,Chennai,3:00 PM,8:45 PM,5 hr 45 min,1 stop,142 kg CO2e,18737,"Thu, Dec 12"
IndiGo,6E 135,Airbus A320,Kolkata,Chennai,11:10 AM,5:30 PM,6 hr 20 min,1 stop,205 kg CO2e,19449,"Thu, Dec 12"
IndiGo,6E 198,Airbus A320neo,Kolkata,Chennai,12:30 PM,7:45 PM,7 hr 15 min,1 stop,173 kg CO2e,20963,"Thu, Dec 12"
IndiGo,6E 345,Airbus A321neo,Kolkata,Chennai,9:05 AM,3:15 PM,6 hr 10 min,1 stop,208 kg CO2e,22919,"Thu, Dec 12"
IndiGo,6E 344,Airbus A321neo,Kolkata,Chennai,5:15 AM,7:40 AM,2 hr 25 min,Nonstop,96 kg CO2e,9493,"Fri, Dec 13"
IndiGo,6E 833,Airbus A321neo,Kolkata,Chennai,11:30 AM,1:50 PM,2 hr 20 min,Nonstop,96 kg CO2e,9892,"Fri, Dec 13"
IndiGo,6E 563,Airbus A320neo,Kolkata,Chennai,8:40 AM,11:10 AM,2 hr 30 min,Nonstop,102 kg CO2e,10172,"Fri, Dec 13"
IndiGo,6E 892,Airbus A320neo,Kolkata,Chennai,3:00 PM,5:25 PM,2 hr 25 min,Nonstop,102 kg CO2e,10172,"Fri, Dec 13"
