Airline,Flight Number,Aircraft Company,Origin,Destination,Arrival Time,Departure Time,Flight Duration,Flight Stops,Carbon Emission,Flight Price,Date
IndiGo,6E 2787,Airbus A320,Kolkata,Delhi,5:30 AM,8:00 AM,2 hr 30 min,Nonstop,114 kg CO2e,9763,"Wed, Nov 20"
SpiceJet,SG 8130,Boeing 737,Kolkata,Delhi,5:55 AM,8:25 AM,2 hr 30 min,Nonstop,150 kg CO2e,10061,"Wed, Nov 20"
Air India,AI 703,Airbus A320,Kolkata,Delhi,4:50 AM,7:20 AM,2 hr 30 min,Nonstop,142 kg CO2e,10154,"Wed, Nov 20"
Air India,AI 763,Airbus A321,Kolkata,Delhi,6:40 AM,9:15 AM,2 hr 35 min,Nonstop,147 kg CO2e,10154,"Wed, Nov 20"
Air India,AI 2720,Airbus A320neo,Kolkata,Delhi,7:00 AM,9:35 AM,2 hr 35 min,Nonstop,115 kg CO2e,10154,"Wed, Nov 20"
IndiGo,6E 2602,Airbus A321neo,Kolkata,Delhi,4:30 PM,7:00 PM,2 hr 30 min,Nonstop,93 kg CO2e,10183,"Wed, Nov 20"
IndiGo,6E 2119,Airbus A321neo,Kolkata,Delhi,6:45 AM,9:15 AM,2 hr 30 min,Nonstop,93 kg CO2e,10393,"Wed, Nov 20"
IndiGo,6E 2759,Airbus A321neo,Kolkata,Delhi,2:15 PM,4:45 PM,2 hr 30 min,Nonstop,93 kg CO2e,10813,"Wed, Nov 20"
Air India,AI 2778,Airbus A320neo,Kolkata,Delhi,3:20 PM,6:00 PM,2 hr 40 min,Nonstop,115 kg CO2e,10964,"Wed, Nov 20"
Air India,AI 769,Airbus A321,Kolkata,Delhi,9:55 AM,12:30 PM,2 hr 35 min,Nonstop,147 kg CO2e,10994,"Wed, Nov 20"
Air India,AI 2706,Airbus A320neo,Kolkata,Delhi,10:25 AM,12:55 PM,2 hr 30 min,Nonstop,115 kg CO2e,10994,"Wed, Nov 20"
IndiGo,6E 6623,Airbus A321neo,Kolkata,Delhi,5:25 AM,11:20 AM,5 hr 55 min,1 stop,179 kg CO2e,11026,"Wed, Nov 20"
IndiGo,6E 139,Airbus A320neo,Kolkata,Delhi,6:40 AM,11:15 AM,4 hr 35 min,1 stop,141 kg CO2e,11026,"Wed, Nov 20"
IndiGo,6E 713,Airbus A320,Kolkata,Delhi,8:10 AM,1:45 PM,5 hr 35 min,1 stop,134 kg CO2e,11026,"Wed, Nov 20"
IndiGo,,,Kolkata,Delhi,10:50 AM,4:55 PM,6 hr 5 min,1 stop,124 kg CO2e,11026,"Wed, Nov 20"
IndiGo,,,Kolkata,Delhi,10:00 AM,12:30 PM,2 hr 30 min,Nonstop,93 kg CO2e,11233,"Wed, Nov 20"
Air India,,,Kolkata,Delhi,3:45 PM,6:20 PM,2 hr 35 min,Nonstop,115 kg CO2e,11384,"Wed, Nov 20"
IndiGo,,,Kolkata,Delhi,11:45 AM,2:15 PM,2 hr 30 min,Nonstop,93 kg CO2e,11443,"Wed, Nov 20"
SpiceJet,,,Kolkata,Delhi,3:20 PM,5:45 PM,2 hr 25 min,Nonstop,150 kg CO2e,11463,"Wed, Nov 20"
IndiGo,,,Kolkata,Delhi,5:30 AM,10:20 AM,4 hr 50 min,1 stop,125 kg CO2e,11552,"Wed, Nov 20"
IndiGo,,,Kolkata,Delhi,8:15 AM,10:45 AM,2 hr 30 min,Nonstop,93 kg CO2e,11968,"Wed, Nov 20"
IndiGo,,,Kolkata,Delhi,5:35 AM,10:45 AM,5 hr 10 min,1 stop,120 kg CO2e,12065,"Wed, Nov 20"
IndiGo,,,Kolkata,Delhi,8:10 AM,12:35 PM,4 hr 25 min,1 stop,134 kg CO2e,12713,"Wed, Nov 20"
IndiGo,,,Kolkata,Delhi,9:40 AM,2:55 PM,5 hr 15 min,1 stop,142 kg CO2e,13468,"Wed, Nov 20"
IndiGo,,,Kolkata,Delhi,5:25 AM,12:15 PM,6 hr 50 min,1 stop,179 kg CO2e,14030,"Wed, Nov 20"
IndiGo,,,Kolkata,Delhi,11:00 AM,5:40 PM,6 hr 40 min,1 stop,179 kg CO2e,16029,"Wed, Nov 20"
IndiGo,,,Kolkata,Delhi,1:45 PM,6:25 PM,4 hr 40 min,1 stop,126 kg CO2e,16168,"Wed, Nov 20"
IndiGo,,,Kolkata,Delhi,12:55 PM,5:50 PM,4 hr 55 min,1 stop,134 kg CO2e,16853,"Wed, Nov 20"
Air India,,,Kolkata,Delhi,6:45 PM,9:20 PM,2 hr 35 min,Nonstop,115 kg CO2e,16920,"Wed, Nov 20"
IndiGo,,,Kolkata,Delhi,10:15 AM,3:25 PM,5 hr 10 min,1 stop,123 kg CO2e,17513,"Wed, Nov 20"
IndiGo,,,Kolkata,Delhi,7:40 AM,12:20 PM,4 hr 40 min,1 stop,142 kg CO2e,18108,"Wed, Nov 20"
IndiGo,,,Kolkata,Delhi,7:30 AM,1:40 PM,6 hr 10 min,1 stop,151 kg CO2e,18740,"Wed, Nov 20"
SpiceJet,,,Kolkata,Delhi,6:35 AM,7:45 PM,13 hr 10 min,1 stop,175 kg CO2e,19954,"Wed, Nov 20"
IndiGo,,,Kolkata,Delhi,12:55 PM,7:10 PM,6 hr 15 min,1 stop,134 kg CO2e,21454,"Wed, Nov 20"
IndiGo,,,Kolkata,Delhi,10:00 AM,2:30 PM,4 hr 30 min,1 stop,118 kg CO2e,22223,"Wed, Nov 20"
IndiGo,6E 2787,Airbus A320,Kolkata,Delhi,5:30 AM,8:00 AM,2 hr 30 min,Nonstop,114 kg CO2e,10077,"Thu, Nov 21"
SpiceJet,SG 8130,Boeing 737,Kolkata,Delhi,5:55 AM,8:25 AM,2 hr 30 min,Nonstop,150 kg CO2e,10218,"Thu, Nov 21"
Air India,AI 703,Airbus A320,Kolkata,Delhi,4:50 AM,7:20 AM,2 hr 30 min,Nonstop,142 kg CO2e,10311,"Thu, Nov 21"
Air India,AI 2778,Airbus A320neo,Kolkata,Delhi,3:20 PM,6:00 PM,2 hr 40 min,Nonstop,115 kg CO2e,10544,"Thu, Nov 21"
Air India,AI 763,Airbus A321,Kolkata,Delhi,6:40 AM,9:15 AM,2 hr 35 min,Nonstop,147 kg CO2e,10731,"Thu, Nov 21"
Air India,AI 2720,Airbus A320neo,Kolkata,Delhi,7:00 AM,9:35 AM,2 hr 35 min,Nonstop,115 kg CO2e,10731,"Thu, Nov 21"
IndiGo,6E 2119,Airbus A321neo,Kolkata,Delhi,6:45 AM,9:15 AM,2 hr 30 min,Nonstop,93 kg CO2e,10865,"Thu, Nov 21"
Air India,AI 768,Airbus A320neo,Kolkata,Delhi,3:45 PM,6:20 PM,2 hr 35 min,Nonstop,115 kg CO2e,10964,"Thu, Nov 21"
IndiGo,6E 2602,Airbus A321neo,Kolkata,Delhi,4:30 PM,7:00 PM,2 hr 30 min,Nonstop,93 kg CO2e,10970,"Thu, Nov 21"
Air India,AI 769,Airbus A321,Kolkata,Delhi,9:55 AM,12:30 PM,2 hr 35 min,Nonstop,147 kg CO2e,11151,"Thu, Nov 21"
Air India,AI 2706,Airbus A320neo,Kolkata,Delhi,10:25 AM,12:55 PM,2 hr 30 min,Nonstop,115 kg CO2e,11151,"Thu, Nov 21"
IndiGo,6E 6623,Airbus A321neo,Kolkata,Delhi,5:25 AM,11:20 AM,5 hr 55 min,1 stop,179 kg CO2e,11183,"Thu, Nov 21"
IndiGo,6E 713,Airbus A320,Kolkata,Delhi,8:10 AM,1:45 PM,5 hr 35 min,1 stop,134 kg CO2e,11183,"Thu, Nov 21"
IndiGo,6E 6152,Airbus A320neo,Kolkata,Delhi,10:50 AM,4:55 PM,6 hr 5 min,1 stop,124 kg CO2e,11183,"Thu, Nov 21"
IndiGo,6E 2759,Airbus A321neo,Kolkata,Delhi,2:15 PM,4:45 PM,2 hr 30 min,Nonstop,93 kg CO2e,11285,"Thu, Nov 21"
IndiGo,6E 5194,Airbus A321neo,Kolkata,Delhi,8:15 AM,10:45 AM,2 hr 30 min,Nonstop,93 kg CO2e,11652,"Thu, Nov 21"
IndiGo,6E 7085,ATR 72,Kolkata,Delhi,5:30 AM,10:20 AM,4 hr 50 min,1 stop,125 kg CO2e,11709,"Thu, Nov 21"
IndiGo,6E 2184,Airbus A321neo,Kolkata,Delhi,10:00 AM,12:30 PM,2 hr 30 min,Nonstop,93 kg CO2e,11862,"Thu, Nov 21"
SpiceJet,SG 254,Boeing 737,Kolkata,Delhi,3:20 PM,5:45 PM,2 hr 25 min,Nonstop,150 kg CO2e,11883,"Thu, Nov 21"
IndiGo,6E 713,Airbus A320,Kolkata,Delhi,8:10 AM,12:35 PM,4 hr 25 min,1 stop,134 kg CO2e,12870,"Thu, Nov 21"
IndiGo,6E 2213,Airbus A321neo,Kolkata,Delhi,11:45 AM,2:15 PM,2 hr 30 min,Nonstop,93 kg CO2e,13175,"Thu, Nov 21"
IndiGo,6E 334,Airbus A321neo,Kolkata,Delhi,11:00 AM,5:40 PM,6 hr 40 min,1 stop,179 kg CO2e,14187,"Thu, Nov 21"
IndiGo,6E 6139,Airbus A321neo,Kolkata,Delhi,5:35 AM,12:15 PM,6 hr 40 min,1 stop,120 kg CO2e,14291,"Thu, Nov 21"
IndiGo,6E 201,Airbus A320neo,Kolkata,Delhi,9:35 AM,3:05 PM,5 hr 30 min,1 stop,166 kg CO2e,14394,"Thu, Nov 21"
IndiGo,6E 7351,ATR 72,Kolkata,Delhi,9:40 AM,2:55 PM,5 hr 15 min,1 stop,142 kg CO2e,14394,"Thu, Nov 21"
