Airline,Flight Number,Aircraft Company,Origin,Destination,Arrival Time,Departure Time,Flight Duration,Flight Stops,Carbon Emission,Flight Price,Date
Akasa Air,QP 1173,Boeing 737MAX 8 Passenger,Kolkata,Mumbai,4:50 AM,8:00 AM,3 hr 10 min,Nonstop,114 kg CO2e,10289,"Thu, Dec 12"
IndiGo,6E 5297,Airbus A321neo,Kolkata,Mumbai,9:30 AM,12:30 PM,3 hr,Nonstop,110 kg CO2e,11596,"Thu, Dec 12"
Air India,AI 676,Airbus A320neo,Kolkata,Mumbai,9:25 AM,12:40 PM,3 hr 15 min,Nonstop,133 kg CO2e,12198,"Thu, Dec 12"
SpiceJet,SG 454,Boeing 737,Kolkata,Mumbai,11:25 AM,2:10 PM,2 hr 45 min,Nonstop,134 kg CO2e,12484,"Thu, Dec 12"
IndiGo,6E 344,Airbus A321neo,Kolkata,Mumbai,5:15 AM,11:20 AM,6 hr 5 min,1 stop,174 kg CO2e,11410,"Thu, Dec 12"
IndiGo,6E 7623,ATR 72,Kolkata,Mumbai,7:15 AM,12:55 PM,5 hr 40 min,1 stop,139 kg CO2e,11410,"Thu, Dec 12"
IndiGo,6E 563,Airbus A320neo,Kolkata,Mumbai,8:40 AM,2:50 PM,6 hr 10 min,1 stop,180 kg CO2e,11410,"Thu, Dec 12"
IndiGo,6E 496,Airbus A320,Kolkata,Mumbai,8:00 AM,2:40 PM,6 hr 40 min,1 stop,194 kg CO2e,11886,"Thu, Dec 12"
IndiGo,6E 5288,Airbus A321neo,Kolkata,Mumbai,11:15 AM,2:25 PM,3 hr 10 min,Nonstop,110 kg CO2e,12249,"Thu, Dec 12"
IndiGo,6E 6623,Airbus A321neo,Kolkata,Mumbai,5:25 AM,11:10 AM,5 hr 45 min,1 stop,143 kg CO2e,12409,"Thu, Dec 12"
Air India,AI 775,Airbus A320neo,Kolkata,Mumbai,4:05 PM,7:15 PM,3 hr 10 min,Nonstop,120 kg CO2e,12578,"Thu, Dec 12"
Air India,AI 773,Airbus A320neo,Kolkata,Mumbai,5:55 PM,8:50 PM,2 hr 55 min,Nonstop,120 kg CO2e,12578,"Thu, Dec 12"
IndiGo,6E 313,Airbus A321neo,Kolkata,Mumbai,6:15 AM,9:15 AM,3 hr,Nonstop,110 kg CO2e,12978,"Thu, Dec 12"
IndiGo,6E 245,Airbus A320neo,Kolkata,Mumbai,5:50 AM,12:25 PM,6 hr 35 min,1 stop,163 kg CO2e,12983,"Thu, Dec 12"
Air India,AI 2774,Airbus A320neo,Kolkata,Mumbai,5:30 PM,8:25 PM,2 hr 55 min,Nonstop,133 kg CO2e,12998,"Thu, Dec 12"
