Airline,Flight Number,Aircraft Company,Origin,Destination,Arrival Time,Departure Time,Flight Duration,Flight Stops,Carbon Emission,Flight Price,Date
IndiGo,6E 2106,Airbus A320neo,Kolkata,Chennai,5:55 AM,12:10 PM,6 hr 15 min,1 stop,201 kg CO2e,15849.0,"Sun, Nov 10"
IndiGo,6E 512,Airbus A320,Kolkata,Chennai,12:50 PM,7:10 PM,6 hr 20 min,1 stop,150 kg CO2e,16620.0,"Sun, Nov 10"
IndiGo,6E 271,Airbus A320neo,Kolkata,Chennai,5:40 AM,11:40 AM,6 hr,1 stop,182 kg CO2e,16725.0,"Sun, Nov 10"
IndiGo,6E 563,Airbus A320neo,Kolkata,Chennai,8:40 AM,11:10 AM,2 hr 30 min,Nonstop,103 kg CO2e,19419.0,"Sun, Nov 10"
IndiGo,6E 833,Airbus A320neo,Kolkata,Chennai,11:30 AM,1:50 PM,2 hr 20 min,Nonstop,103 kg CO2e,19419.0,"Sun, Nov 10"
Air India Express,IX 2656,Boeing 737MAX 8 Passenger,Kolkata,Chennai,11:20 AM,1:45 PM,2 hr 25 min,Nonstop,117 kg CO2e,,"Sun, Nov 10"
IndiGo,6E 345,Airbus A321neo,Kolkata,Chennai,9:05 AM,3:15 PM,6 hr 10 min,1 stop,211 kg CO2e,18746.0,"Sun, Nov 10"
IndiGo,6E 6438,Airbus A321neo,Kolkata,Chennai,4:55 AM,10:30 AM,5 hr 35 min,1 stop,144 kg CO2e,20784.0,"Sun, Nov 10"
IndiGo,6E 344,Airbus A320neo,Kolkata,Chennai,5:15 AM,7:40 AM,2 hr 25 min,Nonstop,103 kg CO2e,20887.0,"Sun, Nov 10"
IndiGo,6E 892,Airbus A320neo,Kolkata,Chennai,3:00 PM,5:25 PM,2 hr 25 min,Nonstop,103 kg CO2e,20994.0,"Sun, Nov 10"
IndiGo,6E 5065,Airbus A321neo,Kolkata,Chennai,1:45 AM,8:35 AM,6 hr 50 min,1 stop,195 kg CO2e,22490.0,"Sun, Nov 10"
IndiGo,6E 334,Airbus A321neo,Kolkata,Chennai,11:00 AM,6:20 PM,7 hr 20 min,1 stop,142 kg CO2e,22490.0,"Sun, Nov 10"
IndiGo,6E 6623,Airbus A321neo,Kolkata,Chennai,5:25 AM,11:20 AM,5 hr 55 min,1 stop,142 kg CO2e,23141.0,"Sun, Nov 10"
IndiGo,6E 5288,Airbus A321neo,Kolkata,Chennai,11:15 AM,5:40 PM,6 hr 25 min,1 stop,195 kg CO2e,24035.0,"Sun, Nov 10"
IndiGo,6E 5297,Airbus A321neo,Kolkata,Chennai,9:30 AM,4:00 PM,6 hr 30 min,1 stop,190 kg CO2e,27602.0,"Sun, Nov 10"
IndiGo,6E 235,Airbus A321neo,Kolkata,Chennai,11:45 AM,5:30 PM,5 hr 45 min,1 stop,144 kg CO2e,29655.0,"Sun, Nov 10"
IndiGo,6E 235,Airbus A321neo,Kolkata,Chennai,11:45 AM,6:30 PM,6 hr 45 min,1 stop,144 kg CO2e,29655.0,"Sun, Nov 10"
IndiGo,6E 455,Airbus A321neo,Kolkata,Chennai,1:15 PM,6:30 PM,5 hr 15 min,1 stop,144 kg CO2e,29655.0,"Sun, Nov 10"
IndiGo,6E 6472,Airbus A320neo,Kolkata,Chennai,1:10 AM,7:05 AM,5 hr 55 min,1 stop,190 kg CO2e,30402.0,"Sun, Nov 10"
